iter	Logloss
0	0.6861506017
1	0.6791164835
2	0.6728104873
3	0.6667266742
4	0.661007215
5	0.6549553037
6	0.6494251029
7	0.6436443039
8	0.6381087593
9	0.6335661075
10	0.628167704
11	0.6228664887
12	0.617749786
13	0.6130676283
14	0.6079662045
15	0.6032490484
16	0.5990122206
17	0.5946202519
18	0.5900199244
19	0.5861299362
20	0.5819870425
21	0.5782064445
22	0.5742388097
23	0.5710724331
24	0.5674552295
25	0.5639831489
26	0.5605811796
27	0.5570127256
28	0.5537462092
29	0.5504761526
30	0.5471173413
31	0.5444752771
32	0.5420290454
33	0.5391556938
34	0.536503512
35	0.5337260765
36	0.5309572646
37	0.5284175401
38	0.5259494094
39	0.5237393227
40	0.5211538627
41	0.5185930393
42	0.5160589867
43	0.5140846036
44	0.5117905231
45	0.5095047745
46	0.5075867988
47	0.5055254833
48	0.5035422895
49	0.5017520925
50	0.4996779268
51	0.4977734575
52	0.4960855316
53	0.4942954733
54	0.4925908997
55	0.4906693784
56	0.4891674894
57	0.487613692
58	0.4861592596
59	0.4848112948
60	0.4832714119
61	0.4817391422
62	0.4800761878
63	0.478577146
64	0.4771287842
65	0.4760495898
66	0.4747731876
67	0.4736265109
68	0.4723813983
69	0.4715149103
70	0.4701651284
71	0.4690234131
72	0.4678155856
73	0.4667127813
74	0.4658771058
75	0.4648417664
76	0.4638305301
77	0.4626434297
78	0.461558322
79	0.4606133879
80	0.4597517578
81	0.4586867015
82	0.457747254
83	0.456823716
84	0.455850142
85	0.4548594727
86	0.4542003359
87	0.4534037314
88	0.4524998938
89	0.451856017
90	0.4509137342
91	0.4502146558
92	0.4493975751
93	0.4485786808
94	0.4478740428
95	0.4471730756
96	0.446424861
97	0.4457755536
98	0.44515351
99	0.4445033855
100	0.4438867854
101	0.4431703112
102	0.4426064961
103	0.4419900888
104	0.4413665382
105	0.4407809564
106	0.4401484122
107	0.4395174355
108	0.4390736811
109	0.438499594
110	0.4378496591
111	0.4372117249
112	0.4367150497
113	0.4362302825
114	0.4356645957
115	0.4352405417
116	0.4347139893
117	0.4342406422
118	0.4337707525
119	0.4333526458
120	0.4328907157
121	0.4325440111
122	0.4320595149
123	0.4316601986
124	0.4312275925
125	0.4307362002
126	0.4303139925
127	0.4298183582
128	0.4293165833
129	0.4289581716
130	0.4285260121
131	0.428126602
132	0.4276089474
133	0.4272222441
134	0.4268751681
135	0.4264126936
136	0.4260185545
137	0.425629359
138	0.4252453367
139	0.4248459016
140	0.4244246484
141	0.4240177774
142	0.4237694772
143	0.4233827761
144	0.4229839483
145	0.4226364625
146	0.4222781727
147	0.4219396888
148	0.4216319163
149	0.4213192537
150	0.4210107785
151	0.4206743931
152	0.4203651149
153	0.4200794157
154	0.4197435208
155	0.4194187142
156	0.4191196839
157	0.4187885983
158	0.4185358923
159	0.4182195941
160	0.4179738631
161	0.4176764043
162	0.4174157431
163	0.4171628462
164	0.4169517711
165	0.4167027763
166	0.4164373607
167	0.4161941373
168	0.4159737876
169	0.4157507715
170	0.4154626794
171	0.4152350953
172	0.415000078
173	0.4147290525
174	0.4145049187
175	0.4142751221
176	0.414035924
177	0.4137928674
178	0.4134816325
179	0.4132548182
180	0.4130246983
181	0.4127945945
182	0.412507317
183	0.4123454658
184	0.4121631021
185	0.4119871165
186	0.4117601009
187	0.41154781
188	0.4113038095
189	0.4111168943
190	0.410835471
191	0.4106728149
192	0.4105256664
193	0.4103149039
194	0.4101194395
195	0.4099559811
196	0.4097688373
197	0.4095155048
198	0.4093421413
199	0.4091855406
