iter	Logloss
0	0.6615521963
1	0.6322698737
2	0.6075525718
3	0.5857675132
4	0.5652864736
5	0.5488195459
6	0.5348201281
7	0.5232588041
8	0.5135976316
9	0.5030849939
10	0.4936180935
11	0.4864316936
12	0.478668882
13	0.4720296866
14	0.4663639506
15	0.4619256587
16	0.4573943855
17	0.4534590405
18	0.4501325338
19	0.4471857942
20	0.4436986945
21	0.440961439
22	0.4389041338
23	0.4368840263
24	0.4349901062
25	0.4329782285
26	0.4307630325
27	0.4292863193
28	0.4276246369
29	0.4257998608
30	0.42437846
31	0.423105476
32	0.4219383639
33	0.4210118404
34	0.4203178333
35	0.4193029928
36	0.4178982471
37	0.4172066227
38	0.4160790471
39	0.4154902881
40	0.4146787643
41	0.4139834766
42	0.4133335793
43	0.4125848299
44	0.4118040964
45	0.4112199711
46	0.410657457
47	0.4099471209
48	0.4095019213
49	0.4091250417
50	0.4086745488
51	0.4082438495
52	0.4075834277
53	0.4071246841
54	0.4065718532
55	0.4060397267
56	0.4056962333
57	0.4052031691
58	0.4048481988
59	0.4043517914
60	0.4040449168
61	0.4037429112
62	0.403399934
63	0.4031665641
64	0.402868125
65	0.4025811416
66	0.402180529
67	0.4019281743
68	0.4017247326
69	0.4013496344
70	0.4011369069
71	0.4008419664
72	0.400603349
73	0.4003707374
74	0.4000552354
75	0.3997996944
76	0.3994362536
77	0.3990747225
78	0.3987321347
79	0.3984078107
80	0.3982148022
81	0.3979316944
82	0.3976756472
83	0.3974308973
84	0.3972058107
85	0.3970515066
86	0.3968749599
87	0.3968031376
88	0.3966272978
89	0.396438484
90	0.3962838035
91	0.3961104047
92	0.3959916722
93	0.3957989505
94	0.3956018956
95	0.3954549435
96	0.3952722233
97	0.3950994018
98	0.3949057654
99	0.3946227481
100	0.3944241312
101	0.394336999
102	0.3940558682
103	0.3939339955
104	0.3937417637
105	0.3936321328
106	0.3935494472
107	0.3932797389
108	0.3931095982
109	0.3929432863
110	0.3925875534
111	0.3924446169
112	0.3923485924
113	0.3920729795
114	0.3919600262
115	0.3918513112
116	0.3917172679
117	0.3914857947
118	0.391391972
119	0.3912230163
120	0.3910865671
121	0.3908989186
122	0.3906184191
123	0.3904950807
124	0.3902340768
125	0.3901348814
126	0.3899522661
127	0.3898305514
128	0.3896686375
129	0.3894710987
130	0.3893295205
131	0.3891505505
132	0.3890106815
133	0.3888432297
134	0.3886712378
135	0.3885111748
136	0.3884364958
137	0.3882771677
138	0.3882228633
139	0.3880251381
140	0.3878389173
141	0.3877528056
142	0.3876533075
143	0.3874339617
144	0.3873492639
145	0.3872042487
146	0.3868756559
147	0.3867711736
148	0.3866796402
149	0.3865649285
150	0.3864004114
151	0.3863191004
152	0.3861255234
153	0.3860467914
154	0.3859581373
155	0.3857749683
156	0.385678608
157	0.3855089043
158	0.3854352185
159	0.3853196484
160	0.3851140862
161	0.3849570255
162	0.3847911664
163	0.3846947568
164	0.3845928793
165	0.3842868589
166	0.3841260661
167	0.3840163182
168	0.3838817782
169	0.3837027764
170	0.3835950912
171	0.3834432774
172	0.3833271471
173	0.3832161343
174	0.3830325036
175	0.3829567119
176	0.3827933622
177	0.3825324193
178	0.3823938387
179	0.3823027513
180	0.3822299029
181	0.382073104
182	0.3819175091
183	0.3818185266
184	0.3816609065
185	0.3814721434
186	0.3812930375
187	0.3811318943
188	0.3810015201
189	0.3808938805
190	0.3806578007
191	0.3805612925
192	0.380389884
193	0.3802443703
194	0.3801174822
195	0.3799861221
196	0.3797947405
197	0.3796269912
198	0.3795215669
199	0.3793695853
